"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Mooij H.","Mooij, Hans (36890986300)","36890986300","Superconducting flux qubit circuits","2005","2005 European Quantum Electronics Conference, EQEC '05","2005","","1567535","370","","","0","10.1109/EQEC.2005.1567535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847269228&doi=10.1109%2fEQEC.2005.1567535&partnerID=40&md5=bbfa0d86e3da7477b6706df697ffcfa6","Kavli Institute of Nanoscience, Delft University of Technology, Netherlands","Mooij H., Kavli Institute of Nanoscience, Delft University of Technology, Netherlands","Quantum bits are developed based on fluxoid states of a loop with three Josephson junctions. Coherent dynamics has been observed with single qubits, qubits coupled to a harmonic oscillator and two coupled qubits. © 2005 IEEE.","","Oscillators (electronic); Quantum theory; Semiconductor junctions; Superconducting devices; Superconductivity; Harmonic oscillators; Josephson junctions; Quantum bits; Quantum electronics","","","","","","","0780389735; 978-078038973-1","","","English","Eur. Quantum Elect. Conf. EQEC","Conference paper","Final","","Scopus","2-s2.0-33847269228"
"Pillarisetty R.; Kashani N.; Keys P.; Kotlyar R.; Luthi F.; Michalak D.; Millard K.; Roberts J.; Torres J.; Zietz O.; Krahenmann T.; George H.C.; Zwerver A.-M.; Veldhorst M.; Scappucci G.; Vandersypen L.M.K.; Clarke J.S.; Watson T.F.; Lampert L.; Thomas N.; Bojarski S.; Amin P.; Caudillo R.; Henry E.","Pillarisetty, R. (6603676315); Kashani, N. (57215525188); Keys, P. (57213525108); Kotlyar, R. (57193618067); Luthi, F. (57216012257); Michalak, D. (6602106733); Millard, K. (36092978500); Roberts, J. (8729257900); Torres, J. (7402798544); Zietz, O. (57191902611); Krahenmann, T. (55501988000); George, H.C. (35174545100); Zwerver, A.-M. (57194083841); Veldhorst, M. (26538386900); Scappucci, G. (16043816400); Vandersypen, L.M.K. (6602448760); Clarke, J.S. (7403197566); Watson, T.F. (55085111100); Lampert, L. (56006706900); Thomas, N. (57216572532); Bojarski, S. (55177996700); Amin, P. (57193510871); Caudillo, R. (8357163300); Henry, E. (57196577922)","6603676315; 57215525188; 57213525108; 57193618067; 57216012257; 6602106733; 36092978500; 8729257900; 7402798544; 57191902611; 55501988000; 35174545100; 57194083841; 26538386900; 16043816400; 6602448760; 7403197566; 55085111100; 56006706900; 57216572532; 55177996700; 57193510871; 8357163300; 57196577922","High Volume Electrical Characterization of Semiconductor Qubits","2019","Technical Digest - International Electron Devices Meeting, IEDM","2019-December","","8993587","","","","18","10.1109/IEDM19573.2019.8993587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081057111&doi=10.1109%2fIEDM19573.2019.8993587&partnerID=40&md5=dc5c13f0a15f6510123f8d7d8b80b053","Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; QuTech and Kavli Institute of Nanoscience, TU Delft, P.O. Box 5046, Delft, 2600 GA, Netherlands","Pillarisetty R., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Kashani N., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Keys P., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Kotlyar R., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Luthi F., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Michalak D., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Millard K., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Roberts J., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Torres J., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Zietz O., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Krahenmann T., QuTech and Kavli Institute of Nanoscience, TU Delft, P.O. Box 5046, Delft, 2600 GA, Netherlands; George H.C., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Zwerver A.-M., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Veldhorst M., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Scappucci G., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Vandersypen L.M.K., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Clarke J.S., QuTech and Kavli Institute of Nanoscience, TU Delft, P.O. Box 5046, Delft, 2600 GA, Netherlands; Watson T.F., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Lampert L., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Thomas N., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Bojarski S., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Amin P., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Caudillo R., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States; Henry E., Technology and Manufacturing Group, Intel Corporation, Hillsboro, 97124, OR, United States","Perhaps the greatest challenge facing quantum computing hardware development is the lack of a high throughput electrical characterization infrastructure at the cryogenic temperatures required for qubit measurements. In this article, we discuss our efforts to develop such a line to guide 300mm spin qubit process development. This includes (i) working with our supply chain to create the required cryogenic high volume testing ecosystem, (ii) driving full wafer cryogenic testing for both transistor and quantum dot statistics, and (iii) utilizing this line to develop a quantum dot process resulting in key electrical data comparable to that from leading devices in literature, but with unprecedented yield and reproducibility. © 2019 IEEE.","","Carbon Quantum Dots; Cryogenics; Graphene quantum dots; Nanocrystals; Quantum optics; Semiconductor quantum dots; Supply chains; Cryogenic temperatures; Cryogenic testing; Electrical characterization; High volume testing; Process development; Quantum Computing; Qubit measurement; Reproducibilities; Qubits","","","","","Institute of Electrical and Electronics Engineers Inc.","01631918","978-172814031-5","TDIMD","","English","Tech. Dig. Int. Electron Meet. IEDM","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85081057111"
"Rabelo W.R.M.; Costa M.M.","Rabelo, Wilson R.M. (6508113357); Costa, Maria Lúcia M. (57202609211)","6508113357; 57202609211","A pedagogical proposal for teaching quantum computing using a 5-qubit processor; [Uma abordagem pedagógica no ensino da computação quântica com um processador quântico de 5-qbits]","2018","Revista Brasileira de Ensino de Fisica","40","4","","","","10","0","10.1590/1806-9126-RBEF-2018-0038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048867204&doi=10.1590%2f1806-9126-RBEF-2018-0038&partnerID=40&md5=0e1b5dfeff2302d7575d4a22d74c5748","Universidade Federal do Pará, Instituto de Tecnologia, Belém, PA, Brazil; Universidade Federal do Pará, Faculdade de Física, Belém, PA, Brazil","Rabelo W.R.M., Universidade Federal do Pará, Instituto de Tecnologia, Belém, PA, Brazil; Costa M.M., Universidade Federal do Pará, Faculdade de Física, Belém, PA, Brazil","Our study consisted in analyzing a real quantum processor, called IBM Q experience (IBM-Q), as a pedagogical resource for the application of quantum computing concepts. This 5-qubits processor can be accessed remotely by internet using a platform developed by IBM technology company. We focused on characterizing several practical and methodological aspects of the IBM-Q. We have evaluated the main conditions for accessing this quantum processor and the interface quality regarding to simplicity and execution. In our analysis, the results of the computational projects are in agreement with the theoretical predictions. The overall results have also demonstrated the IBM-Q is an effective pedagogical resource, focused on tasks such as and assembly execution of simple blocks of quantum circuits. © Sociedade Brasileira de Física. Printed in Brazil.","IBM Q; Quantum Computation; Quantum Experience; Quantum Teleport","","","","W.R.M. Rabelo; Universidade Federal do Pará, Instituto de Tecnologia, Belém, PA, Brazil; email: rabelo@ufpa.br","","Sociedade Brasileira de Fisica","01024744","","","","Portuguese","Rev. Bras. Ensino Fis.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85048867204"
"Nagarajan H.; Lockwood O.; Coffrin C.","Nagarajan, Harsha (57202511210); Lockwood, Owen (57219797182); Coffrin, Carleton (35104466700)","57202511210; 57219797182; 35104466700","QuantumCircuitOpt: An Open-source Framework for Provably Optimal Quantum Circuit Design","2021","Proceedings of QCS 2021: 2nd International Workshop on Quantum Computing Software, Held in conjunction with SC 2021: The International Conference for High Performance Computing, Networking, Storage and Analysis","","","","55","63","8","4","10.1109/QCS54837.2021.00010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124218347&doi=10.1109%2fQCS54837.2021.00010&partnerID=40&md5=bb578235ac50d4ebba2047e1840068da","Los Alamos National Laboratory, Applied Mathematics and Plasma Physics (T-5), Los Alamos, NM, United States; Rensselaer Polytechnic Institute, Department of Computer Science, Troy, NY, United States","Nagarajan H., Los Alamos National Laboratory, Applied Mathematics and Plasma Physics (T-5), Los Alamos, NM, United States; Lockwood O., Rensselaer Polytechnic Institute, Department of Computer Science, Troy, NY, United States; Coffrin C., Los Alamos National Laboratory, Applied Mathematics and Plasma Physics (T-5), Los Alamos, NM, United States","In recent years, the quantum computing community has seen an explosion of novel methods to implement non-Trivial quantum computations on near-Term hardware. An important direction of research has been to decompose an arbitrary entangled state, represented as a unitary, into a quantum circuit, that is, a sequence of gates supported by a quantum processor. It has been well known that circuits with longer decompositions and more entangling multi-qubit gates are error-prone for the current noisy, intermediate-scale quantum devices. To this end, there has been a significant interest to develop heuristic-based methods to discover compact circuits. We contribute to this effort by proposing QuantumCircuitOpt (QCOpt), a novel open-source framework which implements mathematical optimization formulations and algorithms for decomposing arbitrary unitary gates into a sequence of hardware-native gates. A core innovation of QCOpt is that it provides optimality guarantees on the quantum circuits that it produces. In particular, we show that QCOpt can find up to 57% reduction in the number of necessary gates on circuits with up to four qubits, and in run times less than a few minutes on commodity computing hardware. We also validate the efficacy of QCOpt as a tool for quantum circuit design in comparison with a naive brute-force enumeration algorithm. We also show how the QCOpt package can be adapted to various built-in types of native gate sets, based on different hardware platforms like those produced by IBM, Rigetti and Google. We hope this package will facilitate further algorithmic exploration for quantum processor designers, as well as quantum physicists.  © 2021 IEEE.","Discrete Optimization; Open-source Software; Quantum Circuit Design; Quantum Computing","Integrated circuit design; Integrated circuit manufacture; Open source software; Open systems; Optimization; Quantum entanglement; Qubits; Timing circuits; Computing community; Discrete optimization; Non-trivial; Novel methods; Open source frameworks; Open-source softwares; Quantum circuit; Quantum circuit design; Quantum Computing; Quantum processors; Heuristic methods","Information Science & Technology Institute; U.S. Department of Energy, USDOE; Laboratory Directed Research and Development, LDRD; Los Alamos National Laboratory, LANL","This work was supported by the U.S. DOE through a quantum computing program sponsored by the Los Alamos National Laboratory (LANL) Information Science & Technology Institute and the LANL’s Laboratory Directed Research and Development (LDRD) program under projects “20190590ECR: Discrete Optimization Algorithms for Provably Optimal Quantum Circuit Design” and “20210114ER: Accelerating Combinatorial Optimization with Noisy Analog Hardware”.","","","Institute of Electrical and Electronics Engineers Inc.","","978-172818674-0","","","English","Proc. QCS: Int. Workshop Quantum Comput. Software, Held conjunction SC: Int. Conf. High Perform. Comput., Netw., Storage Anal.","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85124218347"
"Patra B.; Incandela R.M.; Van Dijk J.P.G.; Homulle H.A.R.; Song L.; Shahmohammadi M.; Staszewski R.B.; Vladimirescu A.; Babaie M.; Sebastiano F.; Charbon E.","Patra, Bishnu (57190225898); Incandela, Rosario M. (57193514171); Van Dijk, Jeroen P. G. (57193745367); Homulle, Harald A. R. (56246766400); Song, Lin (57193125568); Shahmohammadi, Mina (55976192700); Staszewski, Robert Bogdan (6603716392); Vladimirescu, Andrei (6602819127); Babaie, Masoud (24536889300); Sebastiano, Fabio (36885225500); Charbon, Edoardo (6603792591)","57190225898; 57193514171; 57193745367; 56246766400; 57193125568; 55976192700; 6603716392; 6602819127; 24536889300; 36885225500; 6603792591","Cryo-CMOS Circuits and Systems for Quantum Computing Applications","2018","IEEE Journal of Solid-State Circuits","53","1","8036394","309","321","12","247","10.1109/JSSC.2017.2737549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030233698&doi=10.1109%2fJSSC.2017.2737549&partnerID=40&md5=4c64906faa7a6f6cd04159779b800391","Department of Quantum and Computer Engineering, Delft University of Technology, CD Delft, 2628, Netherlands; Qutech and Kavli Institute of Nanoscience, CJ Delft, 2628, Netherlands; Analog Devices, Inc., Beijing, 100192, China; Catena B.V., XG Delft, 2628, Netherlands; UCD Engineering and Materials Science Centre, University College Dublin, Dublin 4, Ireland; University of California at Berkeley, Berkeley, 94708, CA, United States; Institut Supérieur d'Electronique de Paris, Paris, 75006, France; Department of Microelectronics, Department of Quantum and Computer Engineering, Delft University of Technology, CD Delft, 2628, Netherlands; Qutech, CJ Delft, 2628, Netherlands; Kavli Institute of Nanoscience, CJ Delft, 2628, Netherlands; EPFL, Lausanne, 1015, Switzerland; Intel, Hillsboro, 97124, OR, United States","Patra B., Department of Quantum and Computer Engineering, Delft University of Technology, CD Delft, 2628, Netherlands, Qutech and Kavli Institute of Nanoscience, CJ Delft, 2628, Netherlands; Incandela R.M., Department of Quantum and Computer Engineering, Delft University of Technology, CD Delft, 2628, Netherlands, Qutech and Kavli Institute of Nanoscience, CJ Delft, 2628, Netherlands; Van Dijk J.P.G., Department of Quantum and Computer Engineering, Delft University of Technology, CD Delft, 2628, Netherlands, Qutech and Kavli Institute of Nanoscience, CJ Delft, 2628, Netherlands; Homulle H.A.R., Department of Quantum and Computer Engineering, Delft University of Technology, CD Delft, 2628, Netherlands, Qutech and Kavli Institute of Nanoscience, CJ Delft, 2628, Netherlands; Song L., Analog Devices, Inc., Beijing, 100192, China; Shahmohammadi M., Catena B.V., XG Delft, 2628, Netherlands; Staszewski R.B., UCD Engineering and Materials Science Centre, University College Dublin, Dublin 4, Ireland; Vladimirescu A., University of California at Berkeley, Berkeley, 94708, CA, United States, Institut Supérieur d'Electronique de Paris, Paris, 75006, France; Babaie M., Department of Microelectronics, Department of Quantum and Computer Engineering, Delft University of Technology, CD Delft, 2628, Netherlands; Sebastiano F., Department of Microelectronics, Department of Quantum and Computer Engineering, Delft University of Technology, CD Delft, 2628, Netherlands, Qutech, CJ Delft, 2628, Netherlands; Charbon E., Kavli Institute of Nanoscience, CJ Delft, 2628, Netherlands, EPFL, Lausanne, 1015, Switzerland, Intel, Hillsboro, 97124, OR, United States","A fault-tolerant quantum computer with millions of quantum bits (qubits) requires massive yet very precise control electronics for the manipulation and readout of individual qubits. CMOS operating at cryogenic temperatures down to 4 K (cryo-CMOS) allows for closer system integration, thus promising a scalable solution to enable future quantum computers. In this paper, a cryogenic control system is proposed, along with the required specifications, for the interface of the classical electronics with the quantum processor. To prove the advantages of such a system, the functionality of key circuit blocks is experimentally demonstrated. The characteristic properties of cryo-CMOS are exploited to design a noise-canceling low-noise amplifier for spin-qubit RF-reflectometry readout and a class-F2,3 digitally controlled oscillator required to manipulate the state of qubits. © 1966-2012 IEEE.","Class-F oscillator; CMOS characterization; cryo-CMOS; low-noise amplifier (LNA); noise canceling; phase noise (PN); quantum bit (qubit); quantum computing; qubit control; single-photon avalanche diode (SPAD)","Avalanche diodes; CMOS integrated circuits; Cryogenics; Particle beams; Phase noise; Power amplifiers; Quantum computers; Quantum optics; Radio frequency amplifiers; Timing circuits; Class-f; Noise canceling; Quantum bit (qubit); Quantum Computing; Single photon avalanche diode; Low noise amplifiers","Intel Corporation; Horizon 2020 Framework Programme, H2020, (688539)","Manuscript received April 21, 2017; revised July 5, 2017; accepted July 28, 2017. Date of publication September 13, 2017; date of current version December 26, 2017. This paper was approved by Guest Editor Pui-In Mak. This work was supported by Intel Corporation. Bishnu Patra and Rosario M. Incandela contributed equally to this work. (Corresponding author: Bishnu Patra.) B. Patra, R. M. Incandela, J. P. G. van Dijk, and H. A. R. Homulle are with the Department of Quantum and Computer Engineering, Delft University of Technology, 2628 CD Delft, The Netherlands, and also with Qutech and Kavli Institute of Nanoscience, 2628 CJ Delft, The Netherlands. L. Song is with Analog Devices, Inc., Beijing 100192, China.","","","Institute of Electrical and Electronics Engineers Inc.","00189200","","IJSCB","","English","IEEE J Solid State Circuits","Article","Final","","Scopus","2-s2.0-85030233698"
"Bochkin G.A.; Doronin S.I.; Fel’dman E.B.; Zenchuk A.I.","Bochkin, G.A. (56719720500); Doronin, S.I. (57210588827); Fel’dman, E.B. (7003288065); Zenchuk, A.I. (6701546004)","56719720500; 57210588827; 7003288065; 6701546004","Calculation of π on the IBM quantum computer and the accuracy of one-qubit operations","2020","Quantum Information Processing","19","8","257","","","","3","10.1007/s11128-020-02759-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088391022&doi=10.1007%2fs11128-020-02759-6&partnerID=40&md5=d8de1172ca8245ec99205e9a1172dc55","Institute of Problems of Chemical Physics of Russian Academy of Sciences, Chernogolovka, 142432, Moscow Region, Russian Federation","Bochkin G.A., Institute of Problems of Chemical Physics of Russian Academy of Sciences, Chernogolovka, 142432, Moscow Region, Russian Federation; Doronin S.I., Institute of Problems of Chemical Physics of Russian Academy of Sciences, Chernogolovka, 142432, Moscow Region, Russian Federation; Fel’dman E.B., Institute of Problems of Chemical Physics of Russian Academy of Sciences, Chernogolovka, 142432, Moscow Region, Russian Federation; Zenchuk A.I., Institute of Problems of Chemical Physics of Russian Academy of Sciences, Chernogolovka, 142432, Moscow Region, Russian Federation","A quantum algorithm for the calculation of π is proposed and implemented on the five-qubit IBM quantum computer with superconducting qubits. We find π= 3.157 ± 0.017. The error is due to the noise of quantum one-qubit operations and measurements. The results can be used for estimating the errors of the quantum computer and suggest that the errors are purely random. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","One-qubit operations; Quantum algorithms; Quantum benchmarking; Quantum errors","Lattice constants; Quantum theory; Random errors; Quantum algorithms; Superconducting qubits; Qubits","Russian Foundation for Basic Research, РФФИ, (19-32-80004, 20-03-00147)","This work was performed as a part of a state task (State Registration No. AAAA-A19-119071190017-7). This work is partially supported by the Russian Foundation for Basic Research (Grants Nos. 19-32-80004 and 20-03-00147). The authors are grateful to D. E. Feldman for useful discussion. ","G.A. Bochkin; Institute of Problems of Chemical Physics of Russian Academy of Sciences, Chernogolovka, 142432, Russian Federation; email: bochkin.g@yandex.ru","","Springer","15700755","","","","English","Quantum Inf. Process.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85088391022"
"Ralph T.C.","Ralph, T.C. (7005790759)","7005790759","New directions in optical quantum computing","2016","2015 11th Conference on Lasers and Electro-Optics Pacific Rim, CLEO-PR 2015","1","","7375881","","","","0","10.1109/CLEOPR.2015.7375881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962860727&doi=10.1109%2fCLEOPR.2015.7375881&partnerID=40&md5=93dc23f5e044f85e5f32d6bff49c90c9","Centre for Quantum Computation and Communication Technology, School of Mathematics and Physics, University of Queensland, Brisbane, 4072, QLD, Australia","Ralph T.C., Centre for Quantum Computation and Communication Technology, School of Mathematics and Physics, University of Queensland, Brisbane, 4072, QLD, Australia","We will discuss new sampling algorithms that are hard for classical computers but can be solved with linear optical quantum processors and techniques for implementing universal quantum gates using strong optical non-linearities and Gaussian optics. © 2015 IEEE.","","Gaussian optics; Linear optical; Optical nonlinearity; Optical quantum computing; Quantum processors; Sampling algorithm; Universal quantum gates; Quantum computers","","","","","Institute of Electrical and Electronics Engineers Inc.","","978-146737109-4","","","English","Conf. Lasers Electro-Opt. Pac. Rim, CLEO-PR","Conference paper","Final","","Scopus","2-s2.0-84962860727"
"Degenhardt C.; Geck L.; Kruth A.; Vliex P.; Van Waasen S.","Degenhardt, C. (6604023012); Geck, L. (57191613161); Kruth, A. (6507731554); Vliex, P. (57201157885); Van Waasen, S. (6603964299)","6604023012; 57191613161; 6507731554; 57201157885; 6603964299","CMOS based scalable cryogenic control electronics for qubits","2017","2017 IEEE International Conference on Rebooting Computing, ICRC 2017 - Proceedings","2017-January","","","1","4","3","8","10.1109/ICRC.2017.8123682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043594101&doi=10.1109%2fICRC.2017.8123682&partnerID=40&md5=fb62b73a809e8325cca9a39189eabc3e","Central Institute of Engineering, Electronics and Analytics, Electronic Systems, Forschungszentrum Jülich GmbH, Jülich, Germany; Faculty of Engineering, Communication Systems, University of Duisburg-Essen, Germany","Degenhardt C., Central Institute of Engineering, Electronics and Analytics, Electronic Systems, Forschungszentrum Jülich GmbH, Jülich, Germany; Geck L., Central Institute of Engineering, Electronics and Analytics, Electronic Systems, Forschungszentrum Jülich GmbH, Jülich, Germany; Kruth A., Central Institute of Engineering, Electronics and Analytics, Electronic Systems, Forschungszentrum Jülich GmbH, Jülich, Germany; Vliex P., Central Institute of Engineering, Electronics and Analytics, Electronic Systems, Forschungszentrum Jülich GmbH, Jülich, Germany; Van Waasen S., Central Institute of Engineering, Electronics and Analytics, Electronic Systems, Forschungszentrum Jülich GmbH, Jülich, Germany, Faculty of Engineering, Communication Systems, University of Duisburg-Essen, Germany","The feasibility of using commercial CMOS processes for implementing scalable cryogenic control electronics for universal quantum computers is investigated. Using a systems engineering approach, we break the system down into subsystems and model the individual components down to transistor level. First results for area demand and power consumption indicate that even with a standard CMOS process, it should be possible to operate hundreds of qubits. Using dedicated low power processes with reduced supply voltage, this number could be further increased in the long term by four or more orders of magnitude, allowing the control of millions of qubits. © 2017 IEEE.","CMOS; Cryogenic; Electronics; Quantum computing; Systems engineering","Cryogenics; Electronic equipment; Quantum computers; Quantum optics; Systems engineering; CMOS processs; Control electronics; Individual components; Orders of magnitude; Quantum Computing; Standard CMOS process; Supply voltages; Transistor level; CMOS integrated circuits","","","","","Institute of Electrical and Electronics Engineers Inc.","","978-153861553-9","","","English","IEEE Int. Conf. Rebooting Comput., ICRC - Proc.","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85043594101"
"Tsunoda T.; Bhole G.; Jones S.A.; Jones J.A.; Leek P.J.","Tsunoda, Takahiro (57194414069); Bhole, Gaurav (56845824000); Jones, Stephen A. (57220744753); Jones, Jonathan A. (55430084900); Leek, Peter J. (10044378100)","57194414069; 56845824000; 57220744753; 55430084900; 10044378100","Efficient Hamiltonian programming in qubit arrays with nearest-neighbor couplings","2020","Physical Review A","102","3","032405","","","","2","10.1103/PhysRevA.102.032405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092591947&doi=10.1103%2fPhysRevA.102.032405&partnerID=40&md5=44e1efca00f0c3535cc46f1bc3c8bb90","Clarendon Laboratory, University of Oxford, Parks Road, Oxford, OX1 3PU, United Kingdom","Tsunoda T., Clarendon Laboratory, University of Oxford, Parks Road, Oxford, OX1 3PU, United Kingdom; Bhole G., Clarendon Laboratory, University of Oxford, Parks Road, Oxford, OX1 3PU, United Kingdom; Jones S.A., Clarendon Laboratory, University of Oxford, Parks Road, Oxford, OX1 3PU, United Kingdom; Jones J.A., Clarendon Laboratory, University of Oxford, Parks Road, Oxford, OX1 3PU, United Kingdom; Leek P.J., Clarendon Laboratory, University of Oxford, Parks Road, Oxford, OX1 3PU, United Kingdom","We consider the problem of selectively controlling couplings in a practical quantum processor with always-on interactions that are diagonal in the computational basis, using sequences of local not gates. This methodology is well known in nuclear magnetic resonance implementations, but previous approaches do not scale efficiently for the general fully connected Hamiltonian, where the complexity of finding time-optimal solutions makes them only practical up to a few tens of qubits. Given the rapid growth in the number of qubits in cutting-edge quantum processors, it is of interest to investigate the applicability of this control scheme to much larger-scale systems with realistic restrictions on connectivity. Here we present an efficient scheme to find near time-optimal solutions that can be applied to engineered qubit arrays with local connectivity for any number of qubits, indicating the potential for practical quantum computing in such systems. © 2020 American Physical Society.","","Hamiltonians; Optimal systems; Quantum optics; Superconducting devices; Control schemes; Cutting edges; Efficient schemes; Local connectivity; Nearest-neighbor coupling; Quantum Computing; Quantum processors; Time-optimal solution; Qubits","Masason Foundation; Engineering and Physical Sciences Research Council, EPSRC, (EP/T001062/1); Heiwa Nakajima Foundation, HNF","T.T. is supported by the Masason Foundation and the Nakajima Foundation. G.B. is supported by a Felix Scholarship. P.J.L. acknowledges support from the EPSRC under Grant No. EP/T001062/1.","J.A. Jones; Clarendon Laboratory, University of Oxford, Oxford, Parks Road, OX1 3PU, United Kingdom; email: jonathan.jones@physics.ox.ac.uk","","American Physical Society","24699926","","","","English","Phys. Rev. A","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85092591947"
"Prawer S.","Prawer, Steven (7006110206)","7006110206","Quantum mechanical approaches to information processing","2006","Proceedings of the International Conference on Supercomputing","","","","156","","","0","10.1145/1183401.1183424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547458081&doi=10.1145%2f1183401.1183424&partnerID=40&md5=2edda30e7d3732fa3258e5ae32adb6ec","Centre of Excellence for Quantum Computer Technology, School of Physics, University of Melbourne, Australia","Prawer S., Centre of Excellence for Quantum Computer Technology, School of Physics, University of Melbourne, Australia","Unless new paradigms can be developed for information processing the end is in sight for Moore's Law which has guided the development of the computer industry for nearly half a century. One such paradigm shift is to design and engineer a new generation of algorithms and devices which exploit fundamental quantum mechanical properties such as quantum superposition and entanglement for both information processing and transmission. Entanglement offers the possibility of enormous speed up due to massively parallel operation. However, this requires new ways of thinking regarding the very nature of information processing in which measurement and read-out are intrinsic to successful quantum algorithms. For transmission of information, quantum superposition offers the possibility of communications whose absolute security is guaranteed by the laws of quantum mechanics. But how close are we to being able to translate this potential into practical machines? The technical challenges are formidable because these devices need to control and manipulate individual atoms, electrons or photons. Nevertheless impressive progress has been made over the past five years. The very simplest devices which involve only one or two active quantum bits (qubits) are already finding application in ultra-secure communications systems using quantum key distribution. This requires a single photon source (i.e. a source that produces one and only one photon per pulse) and we will review our progress in fabricating such sources based on advanced diamond technology. Scaling up to many qubit architectures is even more challenging, but highly sophisticated devices which operate at the single electron level have recently been demonstrated. These devices represent the basic building blocks for a quantum information processor which, when integrated, may from the basis of practical quantum computing machines. In this talk, I will attempt to show how recent progress provides a glimpse into one possible version of tomorrow's computing world.","","Algorithms; Binary sequences; Data communication systems; Parallel processing systems; Quantum theory; Moore's Law; Quantum algorithms; Quantum mechanical approaches; Quantum superposition; Data processing","","","","","","","1595932828; 978-159593282-2","","","English","Proc Int Conf Supercomputing","Conference paper","Final","","Scopus","2-s2.0-34547458081"
